Key,Value
적합한 상품 투자권유 및 추천이유 설명,"고객님의 투자성향에 적합한 상품으로 '한국투자 반도체&코스닥 일반사모투자신탁'을 추천해드립니다. 본 상품은 반도체 및 코스닥 관련 기업에 집중 투자하여 성장성 높은 중형주 설비투자의 수혜 기대감이 있으며, AI 수혜 기대, 코스닥 핵심 성장주 편입을 통해 높은 수익 창출을 목표로 합니다. 동일 유형의 다른 사모펀드 대비 차별화된 포트폴리오 구성과 전문 운용팀의 적극적 운용으로 우수한 성과 창출이 가능합니다."
일반 투자자정보 부적합 여부-①투자권유불가 안내,"고객님의 투자자성향이 1등급(매우 높은 위험)에 해당하는 상품 투자에 적합하지 않으실 경우, 본 상품은 고위험 상품이므로 투자권유를 드릴 수 없습니다. 다만 투자를 희망하시는 경우 본인 판단 하에 투자여부를 결정하실 수 있습니다."
일반 투자자정보 부적합 여부-②부적합(부적정)상품의 투자방법 안내,"이 확인서는 고객님 본인의 투자성향에 적합하지 않는 투자성상품에 대한 거래 의사를 확인하기 위한 것이며 향후 분쟁·소송이 발생하는 경우 고객님의 권리구제에 불리하게 작용될 수 있으므로 신중하게 작성할 필요가 있습니다. 유의사항 설명드리겠습니다. 1. 투자성향 대비 위험도가 높은 투자성 상품은 회사가 투자권유를 할 수 없으므로, 고객 본인 판단 하에 투자여부를 결정하시기 바랍니다. 2. 투자권유를 희망하지 않거나, 설명을 요청하지 않으면 회사는 적합성원칙·설명의무 준수의무를 부담하지 않습니다. 3. 투자성향 대비 위험도가 높은 투자성 상품에 투자하는 경우에는 예상보다 더 큰 손실이 발생할 수 있습니다. 확인서에 고객님의 성함, 상품명, 투자자성향, 상품위험등급을 기재해 주시고 서명 부탁드립니다."
설명서 교부,고객님이 선택하신 '한국투자 반도체&코스닥 일반사모투자신탁' 상품의 설명서 및 신탁계약서를 교부해드리고 해당 설명서를 이용하여 설명드리겠습니다.
설명 의무 핵심 설명서 필수 사항 설명-상품내용(유사금융상품과 구별되는 특징 및 발생 가능한 불이익),"(설명서 페이지 3-4)고객님께서 설명을 제대로 이해하지 못한 상태에서 설명을 이해했다는 서명을 하거나 녹취를 남길경우 추후 권리구제가 어려울수 있습니다. 본 상품은 사모펀드로서 공모펀드와 달리 투자자 수가 100인 이하(일반투자자 49인 이하)로 제한되며, 투자금 3억원 이상(일반투자자 기준)의 높은 투자진입금이 특징입니다. 또한 증권신고 제출의무 없음, 높은 수수료(1종 펀드납입금의 [0.50]%), 환매가 제한적(연 2회 이하)인 점이 일반 공모펀드와의 주요 차이점입니다."
설명 의무 핵심 설명서 필수 사항 설명-위험등급의 의미와 유의사항,"(설명서 페이지 4-5)본 펀드의 판매회사(한국투자증권)가 정한 위험등급은 1등급(매우 높은 위험)입니다. 국내 상장주식 및 코스닥 주식, 주식관련 집합투자증권 등 고위험자산에 주로 투자하는 점과 사모펀드의 성격을 종합적으로 감안하여, 이 투자상품의 투자위험등급을 1등급으로 분류합니다. 이 투자상품은 투자원금 전액 손실이 발생할 수 있지만 시장평균 수익률을 훨씬 넘어서는 매우 높은 투자수익을 기대하여 이를 위해 손실 위험을 적극 수용할 수 있는 투자자에게 적합한 상품입니다. 설명서 등에 명기되어 있는 금융투자상품의 투자위험에 대해 충분히 검토하신 후 합리적인 투자판단을 하시기 바랍니다."
설명 의무 핵심 설명서 필수 사항 설명-상품특성 및 시나리오분석결과,"(설명서 페이지 9-10)이 상품은 반도체 및 코스닥 관련 기업에 집중 투자하여 신탁계약 만기(2029년 4월 9일, 약 36개월)까지 운용되는 사모펀드입니다. 손익분기점 이상의 수익 달성 시나리오에서 1종 펀드 기준 예상수익률은 약 17.7%(연 기준 약 5.5%)이며, 손실 발생 시나리오 반영 시 최대 손실은 투자금의 100%입니다. 청약철회권 행사와 관련해 안내드리겠습니다. 본 상품은 청약철회권이 제한되거나 불가능한 상품입니다."
"설명 의무 핵심 설명서 필수 사항 설명-민원, 상담 연락처","(설명서 페이지 10)문의사항 또는 불편사항이 있는 경우 거래하는 영업점, 운용사(한국투자신탁운용 02-2055-5555), 판매사(한국투자증권 1544-5000) 또는 수탁사(삼성증권 1588-2323)에서 문의하실 수 있습니다."
설명 의무 금소법상 설명서 필수 사항 설명-투자자유의사항,(설명서 페이지 2)본 설명서를 볼 때에는 아래 사항에 유의하시기 바랍니다. 이 설명서는 금융소비자의 권리 보호 및 금융상품에 대한 이해 증진을 위하여 '금융소비자 보호에 관한 법률' 및 관련 법규에 의거 작성되었습니다.
설명 의무 금소법상 설명서 필수 사항 설명-금융투자상품의 내용,"(설명서 페이지 8-10)펀드 개요는 모든 항목 빠짐없이 설명 필요입니다. 펀드명: 한국투자 반도체&코스닥 일반사모투자신탁, 펀드유형: 사모펀드, 위험등급: 1등급(매우 높은 위험), 투자대상: 국내 상장주식 및 코스닥 주식, 주식관련 집합투자증권 등, 운용기간: 약 36개월(2026년 4월 10일 ~ 2029년 4월 9일), 최소투자금: 3억원 이상(일반투자자 기준)."
설명 의무 금소법상 설명서 필수 사항 설명-투자에 따른 위험,"(설명서 페이지 8)설명서에서 보시는 바와 같이 투자에 따른 위험은 주식가격변동위험, 환율변동위험, 신용위험, 유동성위험, 집중투자위험, 정산위험 등과 같습니다. 주요 위험으로 국내 반도체 및 코스닥 기업의 구조적 변화에 따른 수익성 악화 위험, 시장 사이클에 따른 주식시장 변동성 위험이 있습니다. 각각의 위험항목에 대해서는 설명서에 구체적으로 기재되어 있습니다. 가입 전에 참고하시고 이해가 되지 않는 항목이 있으시다면 말씀 부탁드립니다."
설명 의무 금소법상 설명서 필수 사항 설명-판매업자가 정하는 위험등급,본 펀드의 판매회사(한국투자증권)가 정한 위험등급은 1등급(매우 높은 위험)입니다.
